journal,esi_field,p_value,p_use,p_reporting,significance,stat_sig_use,stat_sig_reporting,conf_int,conf_int_use,conf_int_reporting,effect_size,effect_size_use,effect_size_reporting,sample_size,sample_size_use,bayes,bayes_use
Nature Communications,Multidisciplinary,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Biotechnology,BIOLOGY & BIOCHEMISTRY,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Geoscience,GEOSCIENCES,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Climate Change,ENVIRONMENT_ECOLOGY,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Chemical Biology,BIOLOGY & BIOCHEMISTRY,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Protocols,BIOLOGY & BIOCHEMISTRY,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Chemistry,CHEMISTRY,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Structural & Molecular Biology,BIOLOGY & BIOCHEMISTRY,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Cellular & Molecular Immunology,IMMUNOLOGY,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Bone Research,BIOLOGY & BIOCHEMISTRY,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Immunology,IMMUNOLOGY,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Nanotechnology,MATERIALS SCIENCE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Materials,MATERIALS SCIENCE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Microbiology,MICROBIOLOGY,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Genetics,MOLECULAR BIOLOGY & GENETICS,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature,Multidisciplinary,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Neuroscience,NEUROSCIENCE & BEHAVIOR,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Photonics,PHYSICS,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
npj Quantum Information,PHYSICS,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
npj Biofilms and Microbiomes,MICROBIOLOGY,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Science Translational Medicine,BIOLOGY & BIOCHEMISTRY,"The testing level (alpha) and whether one-sided or two-sided testing was used should be reported for each statistical test; typically two-sided testing is appropriate, but if one-sided testing is used its use should be justified.
Adjustments made to alpha levels (e.g., Bonferroni correction) or other procedure used to account for multiple testing (e.g., false discovery rate control) should be reported...Results of each statistical test should be reported in full with the value of the test statistic and p-value, and not simply reported as significant or non-significant; more than two significant digits on p-values are usually not needed except in situations of extreme multiple testing such as in genetic association studies where stringent corrections for multiple testing might be used.",Implicit endorsement,Exact,"The testing level (alpha) and whether one-sided or two-sided testing was used should be reported for each statistical test; typically two-sided testing is appropriate, but if one-sided testing is used its use should be justified.
...
Results of each statistical test should be reported in full with the value of the test statistic and p-value, and not simply reported as significant or non-significant; more than two significant digits on p-values are usually not needed except in situations of extreme multiple testing such as in genetic association studies where stringent corrections for multiple testing might be used.",Implicit endorsement,Report alpha,"Methods used for conducting statistical tests (e.g., t-test, Wilcoxon signed rank test, Wald test of regression coefficient) and for constructing confidence intervals (e.g., normal-based 95% CI: mean ± 2SD, likelihood ratio-based interval) should be clearly stated.
...
Point estimates of population parameters (e.g., mean, correlation coefficient, slope) or comparative measures (e.g., mean difference, odds ratio, hazard ratio) should be accompanied by a measure of uncertainty such as a standard error or a confidence interval.",Explicit endorsement,Report confidence level,"Point estimates of population parameters (e.g., mean, correlation coefficient, slope) or comparative measures (e.g., mean difference, odds ratio, hazard ratio) should be accompanied by a measure of uncertainty such as a standard error or a confidence interval.",Explicit endorsement,No guidance,"Sample size. How did you select your sample size? Did you use a power analysis to calculate the sample size necessary to achieve a reliable measurement of the effect? Did you alter this number during the course of the study and, if so, why?
...
Rules for stopping data collection. Did you define rules for stopping data collection in advance (for example, specific intermediary and final endpoints)?",Explicit endorsement,"When Bayesian analyses are conducted, any assumptions made for prior distributions must be fully described.",Implicit endorsement
NEW ENGLAND JOURNAL OF MEDICINE,CLINICAL MEDICINE,"Unless one-sided tests are required by study design, such as in noninferiority clinical trials, all reported P values should be two-sided. In general, P values larger than 0.01 should be reported to two decimal places, and those between 0.01 and 0.001 to three decimal places; P values smaller than 0.001 should be reported as P<0.001. Notable exceptions to this policy include P values arising from tests associated with stopping rules in clinical trials or from genome-wide association studies.",Implicit endorsement,Exact unless very small,"Significance tests should be accompanied by confidence intervals for estimated effect sizes, measures of association, or other parameters of interest. The confidence intervals should be adjusted to match any adjustment made to significance levels in the corresponding test.",Implicit endorsement,No guidance,"Significance tests should be accompanied by confidence intervals for estimated effect sizes, measures of association, or other parameters of interest. The confidence intervals should be adjusted to match any adjustment made to significance levels in the corresponding test...When no method to adjust for multiplicity of inferences or controlling false discovery rate was specified in the protocol or SAP of a clinical trial, the report of all secondary and exploratory endpoints should be limited to point estimates of treatment effects with 95% confidence intervals. In such cases, the Methods section should note that the widths of the intervals have not been adjusted for multiplicity and that the inferences drawn may not be reproducible. No P values should be reported for these analyses...When appropriate, observational studies should use prespecified accepted methods for controlling family-wise error rate or false discovery rate when multiple tests are conducted. In manuscripts reporting observational studies without a prespecified method for error control, summary statistics should be limited to point estimates and 95% confidence intervals. In such cases, the Methods section should note that the widths of the intervals have not been adjusted for multiplicity and that the inferences drawn from the inferences may not be reproducible. No P values should be reported for these analyses...When the analysis depends on the confounders being balanced by exposure group, differences between groups should be summarized with point estimates and 95% confidence intervals when appropriate.",Explicit endorsement,Report 95% Cis,"When possible, the editors prefer that absolute event counts or rates be reported before relative risks or hazard ratios. The goal is to provide the reader with both the actual event frequency and the relative frequency. Odds ratios should be avoided, as they may overestimate the relative risks in many settings and be misinterpreted.",Explicit endorsement,No guidance,The Methods section of all manuscripts should contain a brief description of sample size and power considerations for the study,Explicit endorsement,NA,No guidance
Journal of the Academy of Nutrition and Dietetics,AGRICULTURAL SCIENCES,"Use superscript letters to indicate footnotes (eg, a, b, c); however, use the standard * for P<0.05, ** for P<0.01, and *** for P<0.001. The asterisks indicating P values are only needed if the P values are not provided in the table. @@@ Use superscript letters to indicate footnotes (eg, a, b, c); however, use the standard * for P<0.05, ** for P<0.01, and *** for P<0.001. The asterisks indicating P values are only needed if the P values are not provided in the figure. @@@ Abstracts should be written in complete sentences and for a general journal readership, include P values, if appropriate, and be understandable without reference to the main text.",Implicit endorsement,"Thresholds [0.05, 0.01, 0.001]","Only basic numbers should be included, but the author should indicate whether results were statistically significant or insignificant.",Explicit endorsement,No guidance,"Indicate statistical tests used in data analyses (eg, X2, analysis of variance, or confidence intervals).",Implicit endorsement,No guidance,NA,No guidance,No guidance,Research Paper and Research Brief manuscripts should include... sample size computation or how sample size was determined,Explicit endorsement,NA,No guidance
JAMA Psychiatry,PSYCHIATRY_PSYCHOLOGY,"When possible, present numerical results (eg, absolute numbers and/or rates) with appropriate indicators of uncertainty, such as confidence intervals. Use means and standard deviations (SDs) for normally distributed data and medians and ranges or interquartile ranges (IQRs) for data that are not normally distributed. Avoid solely reporting the results of statistical hypothesis testing, such as P values, which fail to convey important quantitative information. For most studies, P values should follow the reporting of comparisons of absolute numbers or rates and measures of uncertainty (eg, 0.8%, 95% CI −0.2% to 1.8%; P = .13). P values should never be presented alone without the data that are being compared. If P values are reported, follow standard conventions for decimal places: for P values less than .001, report as ""P<.001""; for P values between .001 and .01, report the value to the nearest thousandth; for P values greater than or equal to .01, report the value to the nearest hundredth; and for P values greater than .99, report as ""P>.99."" For studies with exponentially small P values (eg, genetic association studies), P values may be reported with exponents (eg, P = 1×10−5). In general, there is no need to present the values of test statistics (eg, F statistics or χ² results) and degrees of freedom when reporting results.
@@@
For randomized trials using parallel-group design, there is no validity in conducting hypothesis tests regarding the distribution of baseline covariates between groups; by definition, these differences are due to chance. Because of this, tables of baseline participant characteristics should not include P values or statements of statistical comparisons among randomized groups. Instead, report clinically meaningful imbalances between groups, along with potential adjustments for those imbalances in multivariable models. To read more about statistical tests and data presentation, see the AMA Manual of Style
@@@
Avoid solely reporting the results of statistical hypothesis testing, such as P values, which fail to convey important quantitative information. For most studies, P values should follow the reporting of comparisons of absolute numbers or rates and measures of uncertainty (eg, 0.8%, 95% CI -0.2% to 1.8%; P = .13). P values should never be presented alone without the data that are being compared. See also Reporting Standards and Data Presentation.
@@@
In the reporting of results, when possible, quantify findings and present them with appropriate indicators of measurement error or uncertainty, such as confidence intervals (see Reporting Standards and Data Presentation). Avoid relying solely on statistical hypothesis testing, such as the use of P values, which fails to convey important quantitative information. 

",Implicit endorsement,Exact unless very small,"Report basic numbers only but state if results are statistically significant or not significant; do not include results of statistical tests or measures of variance (see example below). 
@@@
Avoid nontechnical uses of technical terms in statistics, such as correlation, normal, predictor, random, sample, significant, trend. Do not use inappropriate hedge terms such as marginal significance or trend toward significance for results that are not statistically significant.
@@@
State any a priori levels of significance and whether hypothesis tests were 1- or 2-sided.
@@@
",Explicit endorsement,Report alpha,"Columns should include the name of the treatment, strength of evidence supporting the treatment, the treatment's effect (preferably shown as the treatment's effect as compared to control on the measured outcome together with 95% confidence intervals), 
@@@
When possible, present numerical results (eg, absolute numbers and/or rates) with appropriate indicators of uncertainty, such as confidence intervals.
@@@
Measures of relative risk also may be reported (eg, relative risk, hazard ratios) and should include confidence intervals.",Explicit endorsement,Report 95% Cis,"Meta-analyses should state the major outcomes that were pooled and include odds ratios or effect sizes and, if possible, sensitivity analyses.",Explicit endorsement,No guidance,"Sample Size Calculations
For randomized trials, a statement of the power or sample size calculation is required (see the EQUATOR Network CONSORT Guidelines). For observational studies that use an established population, a power calculation is not generally required when the sample size is fixed. However, if the sample size was determined by the researchers, through any type of sampling or matching, then there should be some justification for the number sampled. In any case, describe power and sample size calculations at the beginning of the Statistical Methods section, following the general description of the study population.
",Explicit endorsement,NA,No guidance
ECOLOGICAL MONOGRAPHS,ENVIRONMENT_ECOLOGY,"When reporting results, actual P values are preferred. To denote levels of significance, actual P values are generally more informative than symbols such as * and **.",Implicit endorsement,Exact,"To denote levels of significance, actual P values are generally more informative than symbols such as * and **.
Effect size and biological importance must not be confused with statistical significance.",No guidance,No guidance,"Reported statistics usually include the sample size and some measure of their precision (standard error [SE] or specified confidence interval [CI]) except where this would interfere with graphical clarity.
Power analyses (determination of type II error rates, ß) occasionally can be very useful, especially if used in conjunction with descriptive procedures like confidence intervals.",Explicit endorsement,No guidance,Effect size and biological importance must not be confused with statistical significance.,Implicit endorsement,No guidance,"Power analyses (determination of type II error rates, ß) occasionally can be very useful, especially if used in conjunction with descriptive procedures like confidence intervals.",Explicit endorsement,NA,No guidance
