coder,journal,has_guidance,has_external_guidance,external_guidance_raw,external_guidance_list,has_internal_guidance,has_internal_guidance_section,has_p_value,p_value,has_significance,significance,has_null_hypo,null_hypo,has_sample_size,sample_size,has_conf_int,conf_int,has_effect_size,effect_size,has_multi_compare,multi_compare,has_subgroup,subgroup,has_baseline_covar,baseline_covar,has_non_param,non_param,has_sensitivity,sensitivity,has_model_assume,model_assume,has_exclusion,exclusion,has_outliers,outliers,has_missing,missing,has_one_sided,one_sided,has_bayes,bayes,has_secondary,secondary,has_prespecify,prespecify,has_cat_continuous,cat_continuous,has_publisher_guidance,publisher_guidance,overall_rank,field_rank,journal_impact_factor,esi_field,journal_homepage,original_link_stat_guidance,perma_link_stat_guidance,notes,domain
MM/TH,Mucosal Immunology,TRUE,TRUE,"ARRIVE, CONSORT, REMARK","arrive, consort, remark",TRUE,TRUE,TRUE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],FALSE,NA,TRUE,"For null hypothesis testing, the test statistic (e.g. F, t, r) with confidence intervals, effect sizes, degrees of freedom and P value noted [LSR]",TRUE,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",TRUE,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",TRUE,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",TRUE,"...confirm that the following items are present... A description of any assumptions or corrections, such as an adjustment for multiple comparisons... Describe the type of correction and how it is obtained for multiple comparisons (e.g., FWE, FDR, permutation or Monte Carlo). [LSR]",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"A description of any assumptions or corrections, such as an adjustment for multiple comparisons [LSR]",TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,FALSE,NA,TRUE,...confirm that the following items are present...The statistical test(s) used AND whether they are one- or two-sided [LSR],TRUE,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",FALSE,NA,TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,TRUE,Nature,266,3,7.36,IMMUNOLOGY,https://www.nature.com/mi/,https://www.nature.com/nature-research/editorial-policies/reporting-standards,https://perma.cc/Q2WQ-FPNP,"See OSF Storage file ""Nature_LifeSciences-reporting-summary.pdf"" (https://osf.io/wrstc/)  (probably needs to be downloaded - problems arise when opened in browser)",Health sciences
MSH/TH,Nature Energy,TRUE,TRUE,"ARRIVE, CONSORT, REMARK","arrive, consort, remark",TRUE,TRUE,TRUE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],FALSE,NA,TRUE,"For null hypothesis testing, the test statistic (e.g. F, t, r) with confidence intervals, effect sizes, degrees of freedom and P value noted [LSR]",TRUE,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",TRUE,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",TRUE,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",TRUE,"...confirm that the following items are present... A description of any assumptions or corrections, such as an adjustment for multiple comparisons... Describe the type of correction and how it is obtained for multiple comparisons (e.g., FWE, FDR, permutation or Monte Carlo). [LSR]",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"A description of any assumptions or corrections, such as an adjustment for multiple comparisons [LSR]",TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,FALSE,NA,TRUE,...confirm that the following items are present...The statistical test(s) used AND whether they are one- or two-sided [LSR],TRUE,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",FALSE,NA,TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,TRUE,Nature,134,2,46.859,ENGINEERING,https://www.nature.com/nenergy/,https://www.nature.com/nature-research/editorial-policies/reporting-standards,https://perma.cc/Q2WQ-FPNP,"See also OSF Storage files ""Nature_PhysicalSciences-lasing-reporting.pdf"" and ""Nature_PhysicalSciences-photovoltaic-reporting.pdf"" (https://osf.io/39ysd/ and https://osf.io/kwbc2/)  (probably needs to be downloaded - problems arise when opened in browser)",Physical sciences
MSH/TH,Nature Communications,TRUE,TRUE,"ARRIVE, CONSORT, REMARK","arrive, consort, remark",TRUE,TRUE,TRUE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],FALSE,NA,TRUE,"For null hypothesis testing, the test statistic (e.g. F, t, r) with confidence intervals, effect sizes, degrees of freedom and P value noted [LSR]",TRUE,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",TRUE,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",TRUE,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",TRUE,"...confirm that the following items are present... A description of any assumptions or corrections, such as an adjustment for multiple comparisons... Describe the type of correction and how it is obtained for multiple comparisons (e.g., FWE, FDR, permutation or Monte Carlo). [LSR]",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"A description of any assumptions or corrections, such as an adjustment for multiple comparisons [LSR]",TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,FALSE,NA,TRUE,...confirm that the following items are present...The statistical test(s) used AND whether they are one- or two-sided [LSR],TRUE,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",FALSE,NA,TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,TRUE,Nature,165,2,12.353,Multidisciplinary,https://www.nature.com/ncomms/,https://www.nature.com/nature-research/editorial-policies/reporting-standards,https://perma.cc/Q2WQ-FPNP,"See also OSF Storage files ""Nature_PhysicalSciences-lasing-reporting.pdf"" (https://osf.io/39ysd/), ""Nature_PhysicalSciences-photovoltaic-reporting.pdf"" (https://osf.io/kwbc2/)  and ""Nature_LifeSciences-reporting-summary.pdf"" (https://osf.io/wrstc/)  (probably needs to be downloaded - problems arise when opened in browser)",Multidisciplinary
MSH/TH,Nature Biotechnology,TRUE,TRUE,"ARRIVE, CONSORT, REMARK","arrive, consort, remark",TRUE,TRUE,TRUE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],FALSE,NA,TRUE,"For null hypothesis testing, the test statistic (e.g. F, t, r) with confidence intervals, effect sizes, degrees of freedom and P value noted [LSR]",TRUE,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",TRUE,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",TRUE,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",TRUE,"...confirm that the following items are present... A description of any assumptions or corrections, such as an adjustment for multiple comparisons... Describe the type of correction and how it is obtained for multiple comparisons (e.g., FWE, FDR, permutation or Monte Carlo). [LSR]",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"A description of any assumptions or corrections, such as an adjustment for multiple comparisons [LSR]",TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,FALSE,NA,TRUE,...confirm that the following items are present...The statistical test(s) used AND whether they are one- or two-sided [LSR],TRUE,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",FALSE,NA,TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,TRUE,Nature,279,6,35.724,BIOLOGY & BIOCHEMISTRY,https://www.nature.com/nbt/,https://www.nature.com/nature-research/editorial-policies/reporting-standards,https://perma.cc/Q2WQ-FPNP,"See OSF Storage file ""Nature_LifeSciences-reporting-summary.pdf"" (https://osf.io/wrstc/)  (probably needs to be downloaded - problems arise when opened in browser)",Life sciences
MM/TH,Nature Geoscience,TRUE,TRUE,"ARRIVE, CONSORT, REMARK","arrive, consort, remark",TRUE,TRUE,TRUE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],FALSE,NA,TRUE,"For null hypothesis testing, the test statistic (e.g. F, t, r) with confidence intervals, effect sizes, degrees of freedom and P value noted [LSR]",TRUE,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",TRUE,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",TRUE,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",TRUE,"...confirm that the following items are present... A description of any assumptions or corrections, such as an adjustment for multiple comparisons... Describe the type of correction and how it is obtained for multiple comparisons (e.g., FWE, FDR, permutation or Monte Carlo). [LSR]",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"A description of any assumptions or corrections, such as an adjustment for multiple comparisons [LSR]",TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,FALSE,NA,TRUE,...confirm that the following items are present...The statistical test(s) used AND whether they are one- or two-sided [LSR],TRUE,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",FALSE,NA,TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,TRUE,Nature,50,1,14.391,GEOSCIENCES,https://www.nature.com/ngeo/,https://www.nature.com/nature-research/editorial-policies/reporting-standards,https://perma.cc/Q2WQ-FPNP,"See also OSF Storage file ""Nature_LifeSciences-reporting-summary.pdf"" (https://osf.io/wrstc/)  (probably needs to be downloaded - problems arise when opened in browser)",Physical sciences
MM/TH,Nature Climate Change,TRUE,TRUE,"ARRIVE, CONSORT, REMARK","arrive, consort, remark",TRUE,TRUE,TRUE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],FALSE,NA,TRUE,"For null hypothesis testing, the test statistic (e.g. F, t, r) with confidence intervals, effect sizes, degrees of freedom and P value noted [LSR]",TRUE,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",TRUE,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",TRUE,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",TRUE,"...confirm that the following items are present... A description of any assumptions or corrections, such as an adjustment for multiple comparisons... Describe the type of correction and how it is obtained for multiple comparisons (e.g., FWE, FDR, permutation or Monte Carlo). [LSR]",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"A description of any assumptions or corrections, such as an adjustment for multiple comparisons [LSR]",TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,FALSE,NA,TRUE,...confirm that the following items are present...The statistical test(s) used AND whether they are one- or two-sided [LSR],TRUE,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",FALSE,NA,TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,TRUE,Nature,444,11,19.181,ENVIRONMENT_ECOLOGY,https://www.nature.com/nclimate/,https://www.nature.com/nature-research/editorial-policies/reporting-standards,https://perma.cc/Q2WQ-FPNP,"See also OSF Storage file ""Nature_LifeSciences-reporting-summary.pdf"" (https://osf.io/wrstc/)  (probably needs to be downloaded - problems arise when opened in browser)",Life sciences
MM/TH,Nature Chemical Biology,TRUE,TRUE,"ARRIVE, CONSORT, REMARK","arrive, consort, remark",TRUE,TRUE,TRUE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],FALSE,NA,TRUE,"For null hypothesis testing, the test statistic (e.g. F, t, r) with confidence intervals, effect sizes, degrees of freedom and P value noted [LSR]",TRUE,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",TRUE,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",TRUE,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",TRUE,"...confirm that the following items are present... A description of any assumptions or corrections, such as an adjustment for multiple comparisons... Describe the type of correction and how it is obtained for multiple comparisons (e.g., FWE, FDR, permutation or Monte Carlo). [LSR]",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"A description of any assumptions or corrections, such as an adjustment for multiple comparisons [LSR]",TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,FALSE,NA,TRUE,...confirm that the following items are present...The statistical test(s) used AND whether they are one- or two-sided [LSR],TRUE,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",FALSE,NA,TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,TRUE,Nature,800,13,13.843,BIOLOGY & BIOCHEMISTRY,https://www.nature.com/nchembio/,https://www.nature.com/nature-research/editorial-policies/reporting-standards,https://perma.cc/Q2WQ-FPNP,"See OSF Storage file ""Nature_LifeSciences-reporting-summary.pdf"" (https://osf.io/wrstc/)  (probably needs to be downloaded - problems arise when opened in browser)",Life sciences
MM/TH,Nature Protocols,TRUE,TRUE,"ARRIVE, CONSORT, REMARK","arrive, consort, remark",TRUE,TRUE,TRUE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],FALSE,NA,TRUE,"For null hypothesis testing, the test statistic (e.g. F, t, r) with confidence intervals, effect sizes, degrees of freedom and P value noted [LSR]",TRUE,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",TRUE,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",TRUE,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",TRUE,"...confirm that the following items are present... A description of any assumptions or corrections, such as an adjustment for multiple comparisons... Describe the type of correction and how it is obtained for multiple comparisons (e.g., FWE, FDR, permutation or Monte Carlo). [LSR]",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"A description of any assumptions or corrections, such as an adjustment for multiple comparisons [LSR]",TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,FALSE,NA,TRUE,...confirm that the following items are present...The statistical test(s) used AND whether they are one- or two-sided [LSR],TRUE,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",FALSE,NA,TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,TRUE,Nature,198,5,12.423,BIOLOGY & BIOCHEMISTRY,https://www.nature.com/nprot/,https://www.nature.com/nature-research/editorial-policies/reporting-standards,https://perma.cc/Q2WQ-FPNP,"See OSF Storage file ""Nature_LifeSciences-reporting-summary.pdf"" (https://osf.io/wrstc/)  (probably needs to be downloaded - problems arise when opened in browser)",Life sciences
MSH/TH,Nature Chemistry,TRUE,TRUE,"ARRIVE, CONSORT, REMARK","arrive, consort, remark",TRUE,TRUE,TRUE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],FALSE,NA,TRUE,"For null hypothesis testing, the test statistic (e.g. F, t, r) with confidence intervals, effect sizes, degrees of freedom and P value noted [LSR]",TRUE,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",TRUE,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",TRUE,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",TRUE,"...confirm that the following items are present... A description of any assumptions or corrections, such as an adjustment for multiple comparisons... Describe the type of correction and how it is obtained for multiple comparisons (e.g., FWE, FDR, permutation or Monte Carlo). [LSR]",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"A description of any assumptions or corrections, such as an adjustment for multiple comparisons [LSR]",TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,FALSE,NA,TRUE,...confirm that the following items are present...The statistical test(s) used AND whether they are one- or two-sided [LSR],TRUE,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",FALSE,NA,TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,TRUE,Nature,254,7,26.201,CHEMISTRY,https://www.nature.com/nchem/,https://www.nature.com/nature-research/editorial-policies/reporting-standards,https://perma.cc/Q2WQ-FPNP,"See also OSF Storage files ""Nature_PhysicalSciences-lasing-reporting.pdf"" and ""Nature_PhysicalSciences-photovoltaic-reporting.pdf"" (https://osf.io/39ysd/ and https://osf.io/kwbc2/)  (probably needs to be downloaded - problems arise when opened in browser)",Physical sciences
MSH/TH,Nature Structural & Molecular Biology,TRUE,TRUE,"ARRIVE, CONSORT, REMARK","arrive, consort, remark",TRUE,TRUE,TRUE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],FALSE,NA,TRUE,"For null hypothesis testing, the test statistic (e.g. F, t, r) with confidence intervals, effect sizes, degrees of freedom and P value noted [LSR]",TRUE,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",TRUE,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",TRUE,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",TRUE,"...confirm that the following items are present... A description of any assumptions or corrections, such as an adjustment for multiple comparisons... Describe the type of correction and how it is obtained for multiple comparisons (e.g., FWE, FDR, permutation or Monte Carlo). [LSR]",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"A description of any assumptions or corrections, such as an adjustment for multiple comparisons [LSR]",TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,FALSE,NA,TRUE,...confirm that the following items are present...The statistical test(s) used AND whether they are one- or two-sided [LSR],TRUE,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",FALSE,NA,TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,TRUE,Nature,380,8,13.333,BIOLOGY & BIOCHEMISTRY,https://www.nature.com/nsmb/,https://www.nature.com/nature-research/editorial-policies/reporting-standards,https://perma.cc/Q2WQ-FPNP,"See OSF Storage file ""Nature_LifeSciences-reporting-summary.pdf"" (https://osf.io/wrstc/)  (probably needs to be downloaded - problems arise when opened in browser)",Life sciences
MSH/TH,Cellular & Molecular Immunology,TRUE,TRUE,"ARRIVE, CONSORT, REMARK","arrive, consort, remark",TRUE,TRUE,TRUE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],FALSE,NA,TRUE,"For null hypothesis testing, the test statistic (e.g. F, t, r) with confidence intervals, effect sizes, degrees of freedom and P value noted [LSR]",TRUE,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",TRUE,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",TRUE,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",TRUE,"...confirm that the following items are present... A description of any assumptions or corrections, such as an adjustment for multiple comparisons... Describe the type of correction and how it is obtained for multiple comparisons (e.g., FWE, FDR, permutation or Monte Carlo). [LSR]",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"A description of any assumptions or corrections, such as an adjustment for multiple comparisons [LSR]",TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,FALSE,NA,TRUE,...confirm that the following items are present...The statistical test(s) used AND whether they are one- or two-sided [LSR],TRUE,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",FALSE,NA,TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,TRUE,Nature,1017,14,7.551,IMMUNOLOGY,https://www.nature.com/cmi/,https://www.nature.com/nature-research/editorial-policies/reporting-standards,https://perma.cc/Q2WQ-FPNP,"See OSF Storage file ""Nature_LifeSciences-reporting-summary.pdf"" (https://osf.io/wrstc/)  (probably needs to be downloaded - problems arise when opened in browser)",Health sciences
DS/TH,Bone Research,TRUE,TRUE,"ARRIVE, CONSORT, REMARK","arrive, consort, remark",TRUE,TRUE,TRUE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],FALSE,NA,TRUE,"For null hypothesis testing, the test statistic (e.g. F, t, r) with confidence intervals, effect sizes, degrees of freedom and P value noted [LSR]",TRUE,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",TRUE,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",TRUE,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",TRUE,"...confirm that the following items are present... A description of any assumptions or corrections, such as an adjustment for multiple comparisons... Describe the type of correction and how it is obtained for multiple comparisons (e.g., FWE, FDR, permutation or Monte Carlo). [LSR]",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"A description of any assumptions or corrections, such as an adjustment for multiple comparisons [LSR]",TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,FALSE,NA,TRUE,...confirm that the following items are present...The statistical test(s) used AND whether they are one- or two-sided [LSR],TRUE,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",FALSE,NA,TRUE,"Describe any data exclusions. If no data were excluded from the analyses, state so OR if data were excluded, describe the exclusions and the rationale behind them, indicating whether exclusion criteria were pre-established. [LSR]",FALSE,NA,TRUE,Nature,1140,15,12.354,BIOLOGY & BIOCHEMISTRY,https://www.nature.com/boneres/,https://www.nature.com/nature-research/editorial-policies/reporting-standards,https://perma.cc/Q2WQ-FPNP,"See OSF Storage file ""Nature_LifeSciences-reporting-summary.pdf"" (https://osf.io/wrstc/)  (probably needs to be downloaded - problems arise when opened in browser)",Life sciences
