coder,journal,has_guidance,has_external_guidance,external_guidance,has_internal_guidance,has_internal_guidance_section,has_p_value,p_value,has_significance,significance,has_null_hypo,null_hypo,has_sample_size,sample_size,has_conf_int,conf_int,has_effect_size,effect_size,has_multi_compare,multi_compare,has_subgroup,subgroup,has_baseline_covar,baseline_covar,has_non_param,non_param,has_sensitivity,sensitivity,has_model_assume,model_assume,has_exclusion,exclusion,has_outliers,outliers,has_missing,missing,has_one_sided,one_sided,has_bayes,bayes,has_secondary,secondary,has_prespecify,prespecify,has_cat_continuous,cat_continuous
MSH/TH,PSYCHOLOGICAL MEDICINE,TRUE,TRUE,"Altman DG., Gore SM, Gardner, MJ. Pocock SJ. (1983).  Statistical guidelines for contributors to medical journals. British Medical Journal 286, 1489-1493.",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MSH/TH,Journal of Allergy and Clinical Immunology-In Practice,TRUE,TRUE,ICMJE; ARRIVE; CONSORT; STROBE; PRISMA; STARD,TRUE,TRUE,TRUE,"• Every P value should be reported using two digits after the decimal point. If each of the first two digits after the decimal point is zero, then a third digit can be used. If each of the first three digits after the decimal point is zero, then simply report P < .001.
• If the P value is close to the level to be used for claiming a statistical significance or if each of the first two digits after the decimal point is zero, then a third digit can be used. For example, if the significance level is 0.05, then P = .046 or P = .054 can be reported. Nonsignificant results (e.g., where the P value is > 0.05) should be accompanied by P values; it should not simply be stated that they are nonsignificant (NS).
• P values alone are not sufficient to report the results of statistical tests. JACI: In Practice’s readers need to see the magnitude of the effects via point estimates and 95% confidence intervals for the group comparisons.",TRUE,"• If the P value is close to the level to be used for claiming a statistical significance or if each of the first two digits after the decimal point is zero, then a third digit can be used. For example, if the significance level is 0.05, then P = .046 or P = .054 can be reported. Nonsignificant results (e.g., where the P value is > 0.05) should be accompanied by P values; it should not simply be stated that they are nonsignificant (NS).",FALSE,NA,FALSE,NA,TRUE,"• P values alone are not sufficient to report the results of statistical tests. JACI: In Practice’s readers need to see the magnitude of the effects via point estimates and 95% confidence intervals for the group comparisons.

If the distribution for a continuous variable is approximately normally distributed, then report either
• the sample mean and the sample standard deviation or
• the sample mean and the 95% confidence interval for the population mean.
If the distribution for a continuous variable is known (or suspected) to be nonnormal, then report either
•the sample median and the sample interquartile range or
• the sample median and the sample first and third quartiles.
Many blood and urine measurements are log-normally distributed-i.e., the logtransformed variable is approximately normally distributed. If the distribution for a continuous variable is known (or suspected) to be lognormal, then an alternative to sample medians and quartiles is to report either
• the sample geometric mean (calculate as the exponentiation of the sample mean of the natural log-transformed data) and the sample coefficient of variation or
• the sample geometric mean and the 95% confidence interval.
If the distribution of the variable is categorical, then report the raw numbers and the percentages for the categories. Do not use more than three digits for the percentages-i.e., 79% or 79.3% are fine, but 79.32% is not.

An estimate of odds ratios and relative risks (and their corresponding confidence interval estimates) should not exceed two digits beyond the decimal point.",TRUE,• P values alone are not sufficient to report the results of statistical tests. JACI: In Practice’s readers need to see the magnitude of the effects via point estimates and 95% confidence intervals for the group comparisons.,TRUE,"2C. Results: Primary Outcomes, Multiple Comparisons, and Post Hoc Comparisons
• Prespecified primary outcome/analysis should be identified, as well as any prespecified secondary, subgroup, and/or sensitivity analyses. Additional analyses considered during the course of the prespecified analyses or after the study was completed should be identified as post hoc. For analyses of more than one primary outcome, corrections for multiple testing should generally be used. For secondary outcomes, address multiple testing or consider such analyses as exploratory and interpret them as hypothesis-generating. For secondary and subgroup analyses, there should be a description of how the potential for type I error due to multiple comparisons was handled, for example, by adjustment of the significance threshold. In the absence of some approach, these analyses should generally be described and interpreted as exploratory.",TRUE,"For secondary and subgroup analyses, there should be a description of how the potential for type I error due to multiple comparisons was handled, for example, by adjustment of the significance threshold. In the absence of some approach, these analyses should generally be described and interpreted as exploratory.",TRUE,"Statistical tests, along with reported P values, for comparing groups at baseline are not necessary unless there is a strong reason to include them.",FALSE,NA,TRUE,"2C. Results: Primary Outcomes, Multiple Comparisons, and Post Hoc Comparisons
• Prespecified primary outcome/analysis should be identified, as well as any prespecified secondary, subgroup, and/or sensitivity analyses. Additional analyses considered during the course of the prespecified analyses or after the study was completed should be identified as post hoc. For analyses of more than one primary outcome, corrections for multiple testing should generally be used. For secondary outcomes, address multiple testing or consider such analyses as exploratory and interpret them as hypothesis-generating. For secondary and subgroup analyses, there should be a description of how the potential for type I error due to multiple comparisons was handled, for example, by adjustment of the significance threshold. In the absence of some approach, these analyses should generally be described and interpreted as exploratory.",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"2D. Results: Missing Data
• Report losses to observation, such as dropouts from a clinical trial or those lost to follow-up or unavailable in an observational study. If more than 10% of participants are excluded from analyses because of missing or incomplete data, provide a supplementary table that compares the observed characteristics between participants with complete and incomplete data. Consider multiple imputation methods to impute missing data and include an assessment of whether data were missing at random.",FALSE,NA,FALSE,NA,TRUE,"2C. Results: Primary Outcomes, Multiple Comparisons, and Post Hoc Comparisons
• Prespecified primary outcome/analysis should be identified, as well as any prespecified secondary, subgroup, and/or sensitivity analyses. Additional analyses considered during the course of the prespecified analyses or after the study was completed should be identified as post hoc. For analyses of more than one primary outcome, corrections for multiple testing should generally be used. For secondary outcomes, address multiple testing or consider such analyses as exploratory and interpret them as hypothesis-generating. For secondary and subgroup analyses, there should be a description of how the potential for type I error due to multiple comparisons was handled, for example, by adjustment of the significance threshold. In the absence of some approach, these analyses should generally be described and interpreted as exploratory.",TRUE,"2C. Results: Primary Outcomes, Multiple Comparisons, and Post Hoc Comparisons
• Prespecified primary outcome/analysis should be identified, as well as any prespecified secondary, subgroup, and/or sensitivity analyses. Additional analyses considered during the course of the prespecified analyses or after the study was completed should be identified as post hoc. For analyses of more than one primary outcome, corrections for multiple testing should generally be used. For secondary outcomes, address multiple testing or consider such analyses as exploratory and interpret them as hypothesis-generating. For secondary and subgroup analyses, there should be a description of how the potential for type I error due to multiple comparisons was handled, for example, by adjustment of the significance threshold. In the absence of some approach, these analyses should generally be described and interpreted as exploratory.

Registration in a public trials registry is a condition for publication of clinical trials in this journal in accordance with International Committee of Medical Journal Editors recommendations. NOTE: CLINICAL TRIALS MUST REGISTER AT OR BEFORE THE ONSET OF PATIENT ENROLLMENT.",FALSE,NA
MSH/TH,EMBO JOURNAL,TRUE,TRUE,ARRIVE; CONSORT; CARE; REMARK; STARD; MOOSE; PRISMA; STROBE; STREGA; STAMPL; MIAME; BRISQ; ICMJE; https://www.amstat.org/ASA/Your-Career/Ethical-Guidelines-for-Statistical-Practice.aspx; https://www.ahajournals.org/doi/10.1161/JAHA.116.004142; http://jpet.aspetjournals.org/content/351/1/200; https://rupress.org/jcb/article/177/1/7/34602/Error-bars-in-experimental-biology,TRUE,TRUE,TRUE,"The description of all reported data that includes statistical testing must state the name of the statistical test used to generate error bars and P values, the number (n) of independent experiments underlying each data point (not replicate measures of one sample), and the actual P value for each test (not merely 'significant' or 'P < 0.05'). Discussion of statistical methodology can be reported in the materials and methods section, but figure legends should contain a basic description of n, P and the test applied.",TRUE,"Since for complex biological experiments the number of independent repeats of a measurement often has to be limited for practical reasons, statistical measures with a very small n are commonplace. However, statistical measures applied to too small a sample size are not significant and they can suggest a false level of significance. We recommend that the actual individual data from each experiment should be plotted if n < 5, alongside an error bar. In cases where n is small, a justification for the use of the statistical test employed has to be provided.",FALSE,NA,FALSE,NA,TRUE,"Descriptive statistics should include a clearly labelled measure of centre (such as the mean or the median), and a clearly labelled measure of variability (such as standard deviation or range). Ranges are more appropriate than standard deviations or standard errors for small data sets. Standard error or confidence interval is appropriate to compare data to a control.",FALSE,NA,TRUE,"When making multiple statistical comparisons on a single data set, authors should explain how they adjusted the alpha level to avoid an inflated Type I error rate, or they should select statistical tests appropriate for multiple groups.",TRUE,"When using statistical methods based on the normal distribution authors should explain how they tested their data for normality. If the data do not meet the assumptions of the test, then a non-parametric alternative should be used.",FALSE,NA,TRUE,"When using statistical methods based on the normal distribution authors should explain how they tested their data for normality. If the data do not meet the assumptions of the test, then a non-parametric alternative should be used.",FALSE,NA,TRUE,"Authors must justify the use of a particular test and explain whether their data conform to the assumptions of the tests. In particular:

When using statistical methods based on the normal distribution authors should explain how they tested their data for normality. If the data do not meet the assumptions of the test, then a non-parametric alternative should be used.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Clinical trials should also be registered as recommended by the International Committee of Medical Journal Editors, and the trial registration number should be provided.",FALSE,NA
MSH/TH,Small,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MSH/TH,Frontiers in Microbiology,TRUE,TRUE,https://www.frontiersin.org/about/author-guidelines; https://www.frontiersin.org/about/policies-and-publication-ethics,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DS/TH,Journal of the Academy of Nutrition and Dietetics,TRUE,TRUE,"STARD, CONSORT, STROBE, COREQ, CHEERS, PRISMA, MOOSE, ENTREQ, CARE, some papers related to statistics are mentioned",TRUE,FALSE,TRUE,"Use superscript letters to indicate footnotes (eg, a, b, c); however, use the standard * for P<0.05, ** for P<0.01, and *** for P<0.001. The asterisks indicating P values are only needed if the P values are not provided in the table. @@@ Use superscript letters to indicate footnotes (eg, a, b, c); however, use the standard * for P<0.05, ** for P<0.01, and *** for P<0.001. The asterisks indicating P values are only needed if the P values are not provided in the figure. @@@ Abstracts should be written in complete sentences and for a general journal readership, include P values, if appropriate, and be understandable without reference to the main text.",TRUE,"Only basic numbers should be included, but the author should indicate whether results were statistically significant or insignificant.",FALSE,NA,TRUE,Research Paper and Research Brief manuscripts should include... sample size computation or how sample size was determined,TRUE,"Indicate statistical tests used in data analyses (eg, X2, analysis of variance, or confidence intervals).",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Research Paper and Research Brief manuscripts should include...criteria for participant selection and reasons for excluding any data or subjects,FALSE,NA,TRUE,"include a description of substantial modifications made to the database, and an explanation of how missing nutrient data for foods were handled (eg, indicate whether values were extrapolated and evaluate the effect of any missing values on dietary totals for the nutrients of interest).",FALSE,NA,FALSE,NA,TRUE,"The findings section should only include primary outcome(s) and finding(s), not secondary outcomes.",FALSE,NA,FALSE,NA
DS/TH,SOIL BIOLOGY & BIOCHEMISTRY,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DS/TH,CURRENT BIOLOGY,TRUE,TRUE,STAR Methods,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DS/TH,PLOS BIOLOGY,TRUE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"If there is a particular reason that bar or line graphs are preferred, these must include inferential error bars: 
SD - standard deviation of the population, or CI - confidence intervals.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Preregistered Research Articles are a form of empirical article offered at PLOS Biology in which the methods and proposed analyses are peer reviewed prior to conducting experiments, data collection or analysis.",FALSE,NA
DS/TH,NUCLEIC ACIDS RESEARCH,TRUE,TRUE,https://www.ncbi.nlm.nih.gov/books/NBK153593/ http://www.biostathandbook.com/ http://www.utdallas.edu/~serfling/3332/Biology_statistics_made_simple_using_Excel.pdf,TRUE,TRUE,TRUE,"If p-values are presented, one-sided or two-sided should be specified. If one-sided, justification should be provided. Confidence intervals should also accompany the parameter for which statistical significance is being tested.",TRUE,"If p-values are presented, one-sided or two-sided should be specified. If one-sided, justification should be provided. Confidence intervals should also accompany the parameter for which statistical significance is being tested.",FALSE,NA,FALSE,NA,TRUE,"If p-values are presented, one-sided or two-sided should be specified. If one-sided, justification should be provided. Confidence intervals should also accompany the parameter for which statistical significance is being tested...For estimates of proportions and means, also provide confidence intervals.",FALSE,NA,TRUE,"If multiple comparisons are made, there should either be appropriate adjustments to the p-values or a justification provided for why no adjustments were made.",FALSE,NA,FALSE,NA,TRUE,"For comparisons of continuous data that are normally distributed data, t-tests are appropriate for comparisons of two groups, whereas Analyses of Variance (ANOVA) are generally required for comparisons between for three or more groups. Such tests are also robust when applied to non-normal distributions with sufficiently large sample sizes. When the sample size is small, and prior evidence suggests that the measurements are unlikely to be normally distributed, appropriate nonparametric methods are usually preferable.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"If p-values are presented, one-sided or two-sided should be specified. If one-sided, justification should be provided.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
DS/TH,Bone Research,TRUE,TRUE,"CONSORT, REMARK, Nature life sciences reporting checklist; Nature solar cells reporting; Nature lasing reporting",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DS/TH,Chem,TRUE,TRUE,Cell STAR Methods,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DS/TH,Energy & Environmental Science,TRUE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"A sufficient number of samples should be tested, and a sufficient number of trials performed.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
DS/TH,Cancer Discovery,TRUE,TRUE,NIH Preclinical CONSORT PRISMA STARD,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,A statistical analysis section should be added to the Materials and Methods section whenever statistical analysis is performed. This section should include details of how sample sizes were determined if this information was not provided in the legend or main text.,TRUE,"For very low sample sizes (n < 5) the individual data points should be plotted. Means may be indicated, but without error bars or confidence intervals.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"For statistical analysis of small sample sizes, authors should use tests suitable for small sizes and provide a justification for the test used.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"The AACR journals require, as a condition of consideration for publication, that all clinical trials be registered in any of the primary registries that participate in the WHO International Clinical Trial Registry Platform (ICTRP), such as those listed below. @@@ Registration only in a partner registry is insufficient. Trials must be registered at or before the onset of patient enrollment. Whether the trial is the subject of the manuscript or the author refers to other trials in the text, the registration number should always be included so that a link can be generated from the published article to the trial record in the appropriate database.",FALSE,NA
DS/TH,GASTROENTEROLOGY,TRUE,TRUE,"ICMJE, CONSORT, Human Genome Epidemiology Network (HuGENet) guidelines MIAME ARRIVE",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DS/TH,BMJ-British Medical Journal,TRUE,TRUE,"CONSORT, PRISMA, STARD, STROBE, GRIPS, CHEERS, TRIPOD, SAMPL",TRUE,TRUE,TRUE,"Provide specifics about the evidence you discuss. For
example, for key statements, please say: “A large, well
conducted, randomised controlled trial showed INSERT
number [CI] and or p value” ... P values should always be accompanied by supporting data",TRUE,"main results with    (for    quantitative    studies)      95%      confidence      intervals      and,      where      appropriate,   the   exact   level   of   statistical   significance... Please do not use the term ‘negative’ to describe studies that have not found statistically significant differences, perhaps because  they  were  too  small.  There  will  always  be  some  uncertainty, and we hope you will be as explicit as possible in  reporting  what  you  have  found  in  your  study.  Using  wording such as “our results are compatible with a decrease of  this  much  or  an  increase  of  this  much”  or  ‘this  study  found  no  effect’  is  more  accurate  and  helpful  to  readers  than  “there  was  no  effect/no  difference.”",FALSE,NA,FALSE,NA,TRUE,"main    results    with    (for    quantitative    studies)      95%      confidence      intervals      and,      where      appropriate,   the   exact   level   of   statistical   significance... Please include in the results section of your structured 
abstract (and in the article’s results section) the following 
terms, as appropriate:
For a clinical trial: ... NNT or NNH (number needed to treat or harm) and its 
95% confidence interval",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Main outcome measures — those planned in the protocol, those finally measured (if different, explain why)...Trial  registration  —  registry  and  number  (for  clinical  trials   and,   if   available,   for   observational   studies   and   systematic reviews)",FALSE,NA
DS/TH,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,TRUE,TRUE,"EQUATOR, PRISMA, MOOSE, CONSORT",TRUE,TRUE,TRUE,"Avoid solely reporting the results of statistical hypothesis testing, such as P values, which fail to convey important quantitative information. For most studies, P values should follow the reporting of comparisons of absolute numbers or rates and measures of uncertainty (eg, 0.8%, 95% CI −0.2% to 1.8%; P = .13). P values should never be presented alone without the data that are being compared. If P values are reported, follow standard conventions for decimal places: for P values less than .001, report as ""P<.001""; for P values between .001 and .01, report the value to the nearest thousandth; for P values greater than or equal to .01, report the value to the nearest hundredth; and for P values greater than .99, report as ""P>.99."" For studies with exponentially small P values (eg, genetic association studies), P values may be reported with exponents (eg, P = 1×10−5). In general, there is no need to present the values of test statistics (eg, F statistics or χ² results) and degrees of freedom when reporting results.",TRUE,"Define statistical terms, abbreviations, and symbols, if included. Avoid nontechnical uses of technical terms in statistics, such as correlation, normal, predictor, random, sample, significant, trend. Do not use inappropriate hedge terms such as marginal significance or trend toward significance for results that are not statistically significant...State any a priori levels of significance and whether hypothesis tests were 1- or 2-sided...Report basic numbers only but state if results are statistically significant or not significant;",FALSE,NA,TRUE,"Sample Size Calculations

For randomized trials, a statement of the power or sample size calculation is required (see the EQUATOR Network CONSORT Guidelines). For observational studies that use an established population, a power calculation is not generally required when the sample size is fixed. However, if the sample size was determined by the researchers, through any type of sampling or matching, then there should be some justification for the number sampled. In any case, describe power and sample size calculations at the beginning of the Statistical Methods section, following the general description of the study population.",TRUE,"Tables summarizing treatments should have information organized by category of treatment and then by individual treatments. Columns should include the name of the treatment, strength of evidence supporting the treatment, the treatment's effect (preferably shown as the treatment's effect as compared to control on the measured outcome together with 95% confidence intervals)...When possible, present numerical results (eg, absolute numbers and/or rates) with appropriate indicators of uncertainty, such as confidence intervals...In the reporting of results, when possible, quantify findings and present them with appropriate indicators of measurement error or uncertainty, such as confidence intervals (see Reporting Standards and Data Presentation)...For regression models fit to dependent data (eg, clustered or longitudinal data), the models should account for the correlations that arise from clustering and/or repeated measures. Failure to account for such correlation will result in incorrect estimates of uncertainty (eg, confidence intervals).",TRUE,"Meta-analyses should state the major outcomes that were pooled and include odds ratios or effect sizes and, if possible, sensitivity analyses.",TRUE,"Primary Outcomes, Multiple Comparisons, and Post Hoc Comparisons

Both randomized and observational studies should identify the primary outcome(s) before the study began, as well as any prespecified secondary, subgroup, and/or sensitivity analyses. Comparisons arrived at during the course of the analysis or after the study was completed should be identified as post hoc. For analyses of more than 1 primary outcome, corrections for multiple testing should generally be used. For secondary outcomes, address multiple comparisons or consider such analyses as exploratory and interpret them as hypothesis-generating...For secondary and subgroup analyses, there should be a description of how the potential for type I error due to multiple comparisons was handled, for example, by adjustment of the significance threshold. In the absence of some approach, these analyses should generally be described and interpreted as exploratory, as should all post hoc analyses.",TRUE,"Both randomized and observational studies should identify the primary outcome(s) before the study began, as well as any prespecified secondary, subgroup, and/or sensitivity analyses...For secondary and subgroup analyses, there should be a description of how the potential for type I error due to multiple comparisons was handled, for example, by adjustment of the significance threshold. In the absence of some approach, these analyses should generally be described and interpreted as exploratory, as should all post hoc analyses.",TRUE,"For randomized trials using parallel-group design, there is no validity in conducting hypothesis tests regarding the distribution of baseline covariates between groups; by definition, these differences are due to chance.",FALSE,NA,TRUE,"Meta-analyses should state the major outcomes that were pooled and include odds ratios or effect sizes and, if possible, sensitivity analyses...Both randomized and observational studies should identify the primary outcome(s) before the study began, as well as any prespecified secondary, subgroup, and/or sensitivity analyses.",FALSE,NA,TRUE,"If some participants are excluded from analyses because of missing or incomplete data, provide a supplementary table that compares the observed characteristics between participants with complete and incomplete data...The numbers of eligible participants and how they were selected should be provided, including the number approached but who refused or were excluded.",FALSE,NA,TRUE,"Missing Data
Report losses to observation, such as dropouts from a clinical trial or those lost to follow-up or unavailable in an observational study. If some participants are excluded from analyses because of missing or incomplete data, provide a supplementary table that compares the observed characteristics between participants with complete and incomplete data. Consider multiple imputation methods to impute missing data and include an assessment of whether data were missing at random. Approaches based on ""last observation carried forward"" should not be used.",TRUE,State any a priori levels of significance and whether hypothesis tests were 1- or 2-sided.,FALSE,NA,TRUE,"Primary Outcomes, Multiple Comparisons, and Post Hoc Comparisons
Both randomized and observational studies should identify the primary outcome(s) before the study began, as well as any prespecified secondary, subgroup, and/or sensitivity analyses. Comparisons arrived at during the course of the analysis or after the study was completed should be identified as post hoc. For analyses of more than 1 primary outcome, corrections for multiple testing should generally be used. For secondary outcomes, address multiple comparisons or consider such analyses as exploratory and interpret them as hypothesis-generating. The reporting of all outcomes should match that included in study protocols. For randomized clinical trials, protocols with complete statistical analysis plans should be cited in the Methods section and submitted as online supplementary content (see Reporting Clinical Trials). Randomized clinical trials should be primarily analyzed according to the intention-to-treat approach. Deviations from strict intention-to-treat analysis should be described as ""modified intention-to-treat,"" with the modifications clearly described.
For secondary and subgroup analyses, there should be a description of how the potential for type I error due to multiple comparisons was handled, for example, by adjustment of the significance threshold. In the absence of some approach, these analyses should generally be described and interpreted as exploratory, as should all post hoc analyses.
...
All manuscripts reporting clinical trials, including those limited to secondary exploratory or post hoc analysis of trial outcomes, must include a copy of the trial protocol including the complete statistical analysis plan (see Protocols), a CONSORT flow diagram (Figure), and a completed CONSORT checklist.",TRUE,"Trial Registration: For clinical trials only (not nontrial observational studies), the name of the trial registry, registration number, and URL of the registry must be included. 
...
All clinical trials, regardless of when they were completed, and secondary analyses of original clinical trials must be registered before submission of a manuscript based on the trial. Secondary data analyses of primary (parent) clinical trials should not be registered as separate clinical trials, but instead should reference the trial registration number of the primary trial. 
...
All manuscripts reporting clinical trials, including those limited to secondary exploratory or post hoc analysis of trial outcomes, must include a copy of the trial protocol including the complete statistical analysis plan (see Protocols), a CONSORT flow diagram (Figure), and a completed CONSORT checklist. 
...
Comparisons arrived at during the course of the analysis or after the study was completed should be identified as post hoc.",FALSE,NA
DS/TH,LANCET ONCOLOGY,TRUE,TRUE,"CONSORT, STARD, STREGA, SPIRIT-AI",TRUE,FALSE,TRUE,"p values should be given to two significant figures, unless p<0.0001",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"For intervention studies, the abstract should include the
primary outcome expressed as the difference between groups
with a confidence interval on that difference (absolute
differences are more useful than relative ones). Secondary
outcomes can be included as long as they are clearly marked as
secondary and all such outcomes are reported.",TRUE,"For intervention studies, the abstract should include the
primary outcome expressed as the difference between groups",FALSE,NA,TRUE,"Separate reporting of data by demographic variables, such as age and sex, facilitates pooling of data for subgroups across studies and should be routine, unless inappropriate. Discuss the influence or association of variables, such as sex and/or gender, on your findings, where appropriate, and the limitations of the data.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"For intervention studies, the abstract should include the
primary outcome expressed as the difference between groups
with a confidence interval on that difference (absolute
differences are more useful than relative ones). Secondary
outcomes can be included as long as they are clearly marked as
secondary and all such outcomes are reported.",TRUE,"We require registration of all interventional trials, whether
early or late phase, in a primary register that participates in
WHO’s International Clinical Trial Registry Platform (see Lancet
2007; 369: 1909–11) or in ClinicalTrials.gov, in accord with
ICMJE recommendations. We also encourage full public
disclosure of the minimum 21-item trial registration dataset at
the time of registration and before recruitment of the first
participant (see Lancet 2006; 367: 1631–35. The registry must
be independent of for-profit interest...We encourage the registration of all observational studies on a
WHO-compliant registry (see Lancet 2010; 375: 348)
",FALSE,NA
DS/TH,LANCET INFECTIOUS DISEASES,TRUE,TRUE,"CONSORT, STARD, STROBE, ORION, PRISMA, GATHER, STREGA, SPIRIT-AI",TRUE,FALSE,TRUE,"p values should be given to two significant figures, unless p<0.0001",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"For intervention studies, the abstract should include the primary
outcome expressed as the difference between groups with a
confidence interval on that difference (absolute differences are
more useful than relative ones). Secondary outcomes can be
included as long as they are clearly marked as secondary and all
such outcomes are reported",TRUE,"For intervention studies, the abstract should include the primary
outcome expressed as the difference between groups with a
confidence interval on that difference (absolute differences are
more useful than relative ones). Secondary outcomes can be
included as long as they are clearly marked as secondary and all
such outcomes are reported",FALSE,NA,TRUE,"Separate reporting of data by demographic variables, such as age and sex, facilitates pooling of data for subgroups across studies and should be routine, unless inappropriate. Discuss the influence or association of variables, such as sex and/or gender, on your findings, where appropriate, and the limitations of the data.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported,TRUE,"We require the registration of all interventional trials, whether
early or late phase, in a primary register that participates in
WHO’s International Clinical Trial Registry Platform (see Lancet
2007; 369: 1909–11) or in ClinicalTrials.gov, in accord with
ICMJE recommendations. We also encourage full public
disclosure of the minimum 21-item trial registration dataset at
the time of registration and before recruitment of the first
participant (see Lancet 2006; 367: 1631–35). The registry must
be independent of for-profit interest
...
We encourage the registration of all observational studies on a
WHO-compliant registry (see Lancet 2010; 375: 348)",FALSE,NA
DS/TH,EMERGING INFECTIOUS DISEASES,TRUE,FALSE,NA,TRUE,TRUE,TRUE,"It is insufficient to only report p values as evidence of statistical significance. Authors must also report some measure of dispersion (e.g., standard deviations, confidence intervals).",TRUE,"It is insufficient to only report p values as evidence of statistical significance. Authors must also report some measure of dispersion (e.g., standard deviations, confidence intervals)...For statistical models, a table of results should provide the results of all the variables used in the model, the statistical significance of each variable, and a measure of goodness-of-fit of the entire model.",FALSE,NA,FALSE,NA,TRUE,"It is insufficient to only report p values as evidence of statistical significance. Authors must also report some measure of dispersion (e.g., standard deviations, confidence intervals).",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Models should contain detailed sensitivity analyses. Univariate (1 variable at a time) sensitivity analyses are generally considered inadequate. One goal of sensitivity analyses should be to define which inputs are, within the model, relatively most important.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
